parent_voyage,matched_rows,fully_aligned_rows,unaligned_rows,source
3月25日14_00_3月25日17_00,348,348,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
3月26日14_00_3月26日16_00,229,229,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
3月27日07_00_3月27日11_00,470,470,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
3月28日08_00_3月28日11_00,348,347,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
3月29日08_00_3月29日15_00,828,828,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月2日14_00_4月2日17_00,349,349,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月3日08_00_4月3日11_00,349,349,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月7日08_00_4月7日12_00,468,467,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月8日08_00_4月8日12_00,458,458,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月9日08_00_4月9日11_00,349,349,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月12日08_00_4月12日16_00,938,938,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月15日08_00_4月15日17_00,1045,1045,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月16日08_00_4月16日19_00,1284,1284,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月17日07_00_4月17日17_00,948,948,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月18日12_00_4月18日18_00,708,708,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月21日08_00_4月21日16_00,949,948,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月22日14_00_4月22日17_00,348,348,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月23日13_00_4月23日18_00,590,590,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月24日07_00_4月24日17_00,1188,1188,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月25日08_00_4月25日18_00,1152,1151,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月28日08_00_4月28日12_00,456,456,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月29日08_00_4月29日18_00,1184,1184,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
4月30日08_00_4月30日15_00,825,824,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月7日08_00_5月7日18_00,1174,1174,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月8日08_00_5月8日17_00,1050,1050,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月9日08_00_5月9日17_00,1055,1054,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月10日08_00_5月10日10_00,228,228,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月11日08_00_5月11日11_00,347,347,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月13日08_00_5月13日11_00,334,334,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月14日12_00_5月14日19_00,816,812,4,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月15日08_00_5月15日17_00,1055,1055,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月17日08_00_5月17日18_00,1154,1154,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月20日08_00_5月20日18_00,1141,1140,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月21日05_00_5月21日11_00,696,696,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月24日08_00_5月24日19_00,1298,1069,229,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月27日08_00_5月27日19_00,1278,1276,2,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月29日14_00_5月29日17_00,330,328,2,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
5月30日05_00_5月30日17_00,1415,1414,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月4日08_00_6月4日12_00,458,458,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月5日08_00_6月5日19_00,1273,1273,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月6日10_00_6月6日21_00,1241,1241,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月7日00_00_6月7日24_00,2819,2818,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月11日08_00_6月11日11_00,334,334,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月12日14_00_6月12日17_00,332,332,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月13日08_00_6月13日14_00,708,707,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月14日08_00_6月15日18_00,3970,3969,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月17日09_00_6月17日16_00,817,816,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月20日08_00_6月20日16_00,937,935,2,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月26日08_00_6月26日13_00,556,556,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月28日08_00_6月28日15_00,815,815,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
6月30日05_00_6月30日11_00,697,695,2,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月2日14_00_7月2日18_00,452,452,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月3日08_00_7月3日16_00,935,934,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月9日08_00_7月9日16_00,935,928,7,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月10日08_00_7月10日18_00,1174,1174,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月11日06_00_7月12日10_00,3326,3325,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月15日14_00_7月15日16_00,218,218,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月18日08_00_7月18日12_00,455,455,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月19日07_00_7月19日09_00,229,229,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月22日08_00_7月22日11_00,344,344,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月23日12_00_7月23日15_00,335,335,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月24日14_00_7月24日17_00,338,338,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月25日08_00_7月25日17_00,1053,1053,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月26日11_00_7月26日13_00,215,214,1,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月29日14_00_7月29日17_00,334,334,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
7月31日08_00_7月31日11_00,335,335,0,baseline_commit:dc9af36d6705d24bd1fa2adde46cd3b07a301c15
