parent,split,aligned_measured_points,cubic_gap_count,cubic_imputed_points,cubic_max_gap_seconds,cubic_warning_count,cubic_warning_messages,duplicate_count,duplicate_conflict_count,channel_span_violation_count,ais_present_points,trimmed_anchor_points,pchip_output_points,pchip_floating_negative_zeroed
3月26日14_00_3月26日16_00,test,229,1,11,360.0,0,,0,0,0,192,236,7038,0
3月27日07_00_3月27日11_00,train,470,1,10,330.0,0,,0,0,0,401,407,12169,0
3月29日08_00_3月29日15_00,test,828,1,12,390.0,3,2024-03-29T08:42:35+08:00:BATTERY_OVERSHOOT|2024-03-29T08:43:05+08:00:BATTERY_OVERSHOOT|2024-03-29T08:43:35+08:00:BATTERY_OVERSHOOT,0,0,0,679,717,21481,0
4月2日14_00_4月2日17_00,validation,349,1,11,360.0,0,,0,0,0,349,244,7289,1
4月3日08_00_4月3日11_00,train,349,1,11,360.0,0,,0,0,0,349,310,9259,1
4月8日08_00_4月8日12_00,train,458,2,22,390.0,0,,0,0,0,390,353,10551,0
4月9日08_00_4月9日11_00,train,349,1,11,360.0,5,2024-04-09T08:12:59+08:00:BATTERY_OVERSHOOT|2024-04-09T08:13:29+08:00:BATTERY_OVERSHOOT|2024-04-09T08:13:59+08:00:BATTERY_OVERSHOOT|2024-04-09T08:14:29+08:00:BATTERY_OVERSHOOT|2024-04-09T08:14:59+08:00:BATTERY_OVERSHOOT,0,0,0,348,293,8749,0
4月12日08_00_4月12日16_00,train,938,2,22,360.0,0,,0,0,0,932,763,22857,0
4月15日08_00_4月15日17_00,validation,1045,3,35,390.0,9,2024-04-15T13:38:39+08:00:BATTERY_OVERSHOOT|2024-04-15T13:39:09+08:00:BATTERY_OVERSHOOT|2024-04-15T13:39:39+08:00:BATTERY_OVERSHOOT|2024-04-15T13:40:09+08:00:BATTERY_OVERSHOOT|2024-04-15T13:40:39+08:00:BATTERY_OVERSHOOT|2024-04-15T13:41:09+08:00:BATTERY_OVERSHOOT|2024-04-15T14:38:39+08:00:BATTERY_OVERSHOOT|2024-04-15T14:39:09+08:00:BATTERY_OVERSHOOT|2024-04-15T14:39:39+08:00:BATTERY_OVERSHOOT,0,0,0,1045,1031,30886,0
4月16日08_00_4月16日19_00,validation,1284,3,36,420.0,27,2024-04-16T12:57:10+08:00:BATTERY_OVERSHOOT|2024-04-16T12:57:40+08:00:BATTERY_OVERSHOOT|2024-04-16T12:58:10+08:00:BATTERY_OVERSHOOT|2024-04-16T12:58:40+08:00:BATTERY_OVERSHOOT|2024-04-16T12:59:10+08:00:BATTERY_OVERSHOOT|2024-04-16T12:59:40+08:00:BATTERY_OVERSHOOT|2024-04-16T13:00:10+08:00:BATTERY_OVERSHOOT|2024-04-16T14:23:10+08:00:FC_OVERSHOOT|2024-04-16T14:23:10+08:00:BATTERY_OVERSHOOT|2024-04-16T14:23:40+08:00:FC_OVERSHOOT|2024-04-16T14:23:40+08:00:BATTERY_OVERSHOOT|2024-04-16T14:24:10+08:00:FC_OVERSHOOT|2024-04-16T14:24:10+08:00:BATTERY_OVERSHOOT|2024-04-16T14:24:40+08:00:FC_OVERSHOOT|2024-04-16T14:24:40+08:00:BATTERY_OVERSHOOT|2024-04-16T14:25:10+08:00:FC_OVERSHOOT|2024-04-16T14:25:10+08:00:BATTERY_OVERSHOOT|2024-04-16T14:25:40+08:00:FC_OVERSHOOT|2024-04-16T14:25:40+08:00:BATTERY_OVERSHOOT|2024-04-16T14:26:10+08:00:FC_OVERSHOOT|2024-04-16T14:26:10+08:00:BATTERY_OVERSHOOT|2024-04-16T14:26:40+08:00:FC_OVERSHOOT|2024-04-16T14:26:40+08:00:BATTERY_OVERSHOOT|2024-04-16T14:27:10+08:00:BATTERY_OVERSHOOT|2024-04-16T14:27:40+08:00:BATTERY_OVERSHOOT|2024-04-16T14:28:10+08:00:BATTERY_OVERSHOOT|2024-04-16T14:28:40+08:00:BATTERY_OVERSHOOT,0,0,0,1284,1261,37802,1
